FIPS,ST,County,HypertensionPct
00018,IN,Indiana,78.3
00015,HI,Hawaii,32.4
00012,FL,Florida,
00019,IA,Iowa,80.3
00015,HI,Hawaii,27.2
00018,IN,Indiana,
00020,KS,Kansas,
00017,IL,Illinois,37
00013,GA,Georgia,52.8
00015,HI,Hawaii,28.6
00020,KS,Kansas,
00020,KS,Kansas,15.3
00017,IL,Illinois,83.7
00016,ID,Idaho,31.3
00013,GA,Georgia,81.4
00018,IN,Indiana,14
00019,IA,Iowa,40.1
00013,GA,Georgia,40.6
00016,ID,Idaho,20.4
00016,ID,Idaho,72.8
00020,KS,Kansas,66.4
00066,GU,Guam,46.3
00019,IA,Iowa,35.4
00016,ID,Idaho,37.2
00019,IA,Iowa,35.4
00017,IL,Illinois,84.6
00012,FL,Florida,
00019,IA,Iowa,21.6
00012,FL,Florida,
00017,IL,Illinois,24.4
00013,GA,Georgia,29.5
00020,KS,Kansas,44.7
00018,IN,Indiana,31.7
00015,HI,Hawaii,79.5
00017,IL,Illinois,
00066,GU,Guam,58.1
00018,IN,Indiana,85.7
00013,GA,Georgia,34.5
00017,IL,Illinois,32.9
00018,IN,Indiana,15.6
00017,IL,Illinois,52.6
00012,FL,Florida,
00019,IA,Iowa,15.8
00018,IN,Indiana,
00017,IL,Illinois,
00016,ID,Idaho,
00020,KS,Kansas,37
00013,GA,Georgia,36.3
00019,IA,Iowa,29.1
00066,GU,Guam,
00020,KS,Kansas,
00066,GU,Guam,24
00020,KS,Kansas,37.3
00013,GA,Georgia,32
00015,HI,Hawaii,17.5
00016,ID,Idaho,39.3
00015,HI,Hawaii,93.9
00015,HI,Hawaii,37.3
00015,HI,Hawaii,74
00015,HI,Hawaii,
00017,IL,Illinois,84.1
00017,IL,Illinois,34.8
00015,HI,Hawaii,41.4
00018,IN,Indiana,42.6
00019,IA,Iowa,
00012,FL,Florida,
00020,KS,Kansas,35.5
00017,IL,Illinois,
00018,IN,Indiana,81.2
00018,IN,Indiana,37.6
00012,FL,Florida,
00020,KS,Kansas,44.5
00016,ID,Idaho,38.1
00017,IL,Illinois,34.7
00020,KS,Kansas,40.2
00017,IL,Illinois,31.7
00013,GA,Georgia,68.1
00019,IA,Iowa,92.6
00012,FL,Florida,
00013,GA,Georgia,56.6
00019,IA,Iowa,37.3
00015,HI,Hawaii,32.8
00066,GU,Guam,26.3
00017,IL,Illinois,59.7
00018,IN,Indiana,32
00017,IL,Illinois,27.6
00066,GU,Guam,79.7
00012,FL,Florida,
00019,IA,Iowa,27.5
00015,HI,Hawaii,70.5
00017,IL,Illinois,63.8
00016,ID,Idaho,13.7
00066,GU,Guam,21
00016,ID,Idaho,36.8
00016,ID,Idaho,
00017,IL,Illinois,77.7
00020,KS,Kansas,34.3
00016,ID,Idaho,34.8
00066,GU,Guam,32.9
00013,GA,Georgia,20.6
00066,GU,Guam,77.6
00012,FL,Florida,
00020,KS,Kansas,61.2
00066,GU,Guam,
00020,KS,Kansas,93.3
00066,GU,Guam,45.1
00013,GA,Georgia,36.4
00017,IL,Illinois,30
00018,IN,Indiana,24.5
00019,IA,Iowa,78.4
00015,HI,Hawaii,
00016,ID,Idaho,29.3
00013,GA,Georgia,32.2
00019,IA,Iowa,18.9
00019,IA,Iowa,
00066,GU,Guam,34.8
00018,IN,Indiana,46.2
00016,ID,Idaho,16
00015,HI,Hawaii,24.3
00013,GA,Georgia,61.2
00019,IA,Iowa,35.7
00066,GU,Guam,32.8
00015,HI,Hawaii,32.2
00013,GA,Georgia,70.5
00066,GU,Guam,
00012,FL,Florida,
00066,GU,Guam,31.7
00013,GA,Georgia,
00016,ID,Idaho,43.4
00020,KS,Kansas,34.1
00015,HI,Hawaii,27.6
00066,GU,Guam,10.6
00020,KS,Kansas,70.9
00017,IL,Illinois,
00013,GA,Georgia,
00016,ID,Idaho,78.6
00017,IL,Illinois,
00012,FL,Florida,
00066,GU,Guam,33.2
00012,FL,Florida,
00012,FL,Florida,
00017,IL,Illinois,27.7
00019,IA,Iowa,61.1
00015,HI,Hawaii,40
00066,GU,Guam,81.1
00012,FL,Florida,
00018,IN,Indiana,33.6
00012,FL,Florida,
00016,ID,Idaho,25.3
00020,KS,Kansas,20.2
00015,HI,Hawaii,
00020,KS,Kansas,81.6
00015,HI,Hawaii,12
00020,KS,Kansas,
00015,HI,Hawaii,84.2
00019,IA,Iowa,34.7
00018,IN,Indiana,17
00020,KS,Kansas,40.5
00012,FL,Florida,
00018,IN,Indiana,40.6
00019,IA,Iowa,28.3
00013,GA,Georgia,36.6
00020,KS,Kansas,29.1
00017,IL,Illinois,
00015,HI,Hawaii,49.6
00013,GA,Georgia,36.7
00012,FL,Florida,
00012,FL,Florida,
00017,IL,Illinois,37
00012,FL,Florida,
00016,ID,Idaho,27
00013,GA,Georgia,39.3
00018,IN,Indiana,30.2
00019,IA,Iowa,27.8
00015,HI,Hawaii,
00066,GU,Guam,33.4
00013,GA,Georgia,56
00018,IN,Indiana,37.2
00012,FL,Florida,
00015,HI,Hawaii,41.5
00015,HI,Hawaii,39.8
00018,IN,Indiana,23.5
00020,KS,Kansas,29.1
00020,KS,Kansas,26.5
00019,IA,Iowa,24.5
00018,IN,Indiana,62.9
00020,KS,Kansas,38.8
00012,FL,Florida,
00017,IL,Illinois,31.7
00019,IA,Iowa,36.5
00020,KS,Kansas,31.3
00016,ID,Idaho,34.4
00066,GU,Guam,44.3
00018,IN,Indiana,37.9
00015,HI,Hawaii,25.6
00015,HI,Hawaii,34.9
00016,ID,Idaho,16.1
00019,IA,Iowa,
00019,IA,Iowa,74.1
00016,ID,Idaho,48.5
00012,FL,Florida,
00012,FL,Florida,
00018,IN,Indiana,17
00017,IL,Illinois,27.2
00066,GU,Guam,26.7
00066,GU,Guam,37
00013,GA,Georgia,40.5
00013,GA,Georgia,85.2
00012,FL,Florida,
00013,GA,Georgia,20.5
00020,KS,Kansas,34.3
00019,IA,Iowa,35.1
00019,IA,Iowa,54.4
00020,KS,Kansas,38.5
00018,IN,Indiana,17.7
00015,HI,Hawaii,27.4
00016,ID,Idaho,56.2
00018,IN,Indiana,34.5
00020,KS,Kansas,81
00016,ID,Idaho,25.4
00012,FL,Florida,
00016,ID,Idaho,
00024,MD,Maryland,33.5
00024,MD,Maryland,79.2
00025,MA,Massachusetts,78.8
00022,LA,Louisiana,81.5
00026,MI,Michigan,
00025,MA,Massachusetts,17.4
00023,ME,Maine,38.7
00021,KY,Kentucky,
00022,LA,Louisiana,84.8
00025,MA,Massachusetts,55.1
00022,LA,Louisiana,41.5
00024,MD,Maryland,20.5
00021,KY,Kentucky,37
00027,MN,Minnesota,24.1
00029,MO,Missouri,38
00024,MD,Maryland,25.9
00023,ME,Maine,
00027,MN,Minnesota,33
00029,MO,Missouri,25.4
00023,ME,Maine,52.1
00028,MS,Mississippi,
00021,KY,Kentucky,32.5
00029,MO,Missouri,80.7
00029,MO,Missouri,
00027,MN,Minnesota,35.2
00024,MD,Maryland,33.2
00027,MN,Minnesota,81.1
00023,ME,Maine,
00029,MO,Missouri,18.2
00027,MN,Minnesota,14.3
00025,MA,Massachusetts,68.4
00025,MA,Massachusetts,32.5
00022,LA,Louisiana,20.4
00023,ME,Maine,34.1
00025,MA,Massachusetts,
00026,MI,Michigan,35.3
00029,MO,Missouri,44.8
00028,MS,Mississippi,49
00026,MI,Michigan,79.6
00029,MO,Missouri,59.5
00026,MI,Michigan,36.8
00023,ME,Maine,35.1
00029,MO,Missouri,14.7
00024,MD,Maryland,39.5
00021,KY,Kentucky,
00027,MN,Minnesota,32.5
00028,MS,Mississippi,46.8
00023,ME,Maine,72.8
00021,KY,Kentucky,37.8
00022,LA,Louisiana,32.9
00022,LA,Louisiana,38.6
00025,MA,Massachusetts,37.7
00027,MN,Minnesota,27.3
00023,ME,Maine,18.1
00027,MN,Minnesota,
00022,LA,Louisiana,
00024,MD,Maryland,34.5
00029,MO,Missouri,52.6
00023,ME,Maine,
00022,LA,Louisiana,
00025,MA,Massachusetts,68.9
00024,MD,Maryland,56.8
00025,MA,Massachusetts,54.4
00027,MN,Minnesota,12.2
00022,LA,Louisiana,
00027,MN,Minnesota,60.9
00024,MD,Maryland,20.6
00022,LA,Louisiana,40.2
00026,MI,Michigan,42.9
00023,ME,Maine,
00025,MA,Massachusetts,73.4
00028,MS,Mississippi,54.8
00026,MI,Michigan,
00028,MS,Mississippi,57.5
00029,MO,Missouri,
00027,MN,Minnesota,81.3
00021,KY,Kentucky,19.5
00026,MI,Michigan,38.2
00023,ME,Maine,78.9
00027,MN,Minnesota,29.5
00022,LA,Louisiana,38.5
00024,MD,Maryland,37.1
00024,MD,Maryland,83.1
00025,MA,Massachusetts,38.1
00026,MI,Michigan,20.1
00021,KY,Kentucky,19.6
00022,LA,Louisiana,37.7
00026,MI,Michigan,35.6
00021,KY,Kentucky,48
00026,MI,Michigan,10.6
00029,MO,Missouri,93.1
00023,ME,Maine,38.2
00024,MD,Maryland,93.7
00022,LA,Louisiana,32.5
00025,MA,Massachusetts,77.2
00023,ME,Maine,36.2
00023,ME,Maine,75.7
00022,LA,Louisiana,22.3
00026,MI,Michigan,75.4
00021,KY,Kentucky,49
00022,LA,Louisiana,
00024,MD,Maryland,41.6
00025,MA,Massachusetts,35.3
00022,LA,Louisiana,54.9
00025,MA,Massachusetts,29.9
00028,MS,Mississippi,42.7
00025,MA,Massachusetts,79.4
00027,MN,Minnesota,23.6
00027,MN,Minnesota,27.1
00021,KY,Kentucky,32.5
00023,ME,Maine,
00022,LA,Louisiana,36.4
00026,MI,Michigan,41.8
00027,MN,Minnesota,38.5
00025,MA,Massachusetts,
00025,MA,Massachusetts,28.7
00021,KY,Kentucky,
00029,MO,Missouri,75.6
00029,MO,Missouri,
00023,ME,Maine,42.5
00028,MS,Mississippi,
00027,MN,Minnesota,28.3
00021,KY,Kentucky,37.7
00023,ME,Maine,
00024,MD,Maryland,
00029,MO,Missouri,
00022,LA,Louisiana,44
00029,MO,Missouri,33.9
00026,MI,Michigan,38.5
00026,MI,Michigan,20.2
00021,KY,Kentucky,36.9
00021,KY,Kentucky,50.8
00029,MO,Missouri,30.9
00028,MS,Mississippi,18
00021,KY,Kentucky,33.9
00026,MI,Michigan,
00029,MO,Missouri,53
00024,MD,Maryland,42
00028,MS,Mississippi,87.6
00024,MD,Maryland,79.6
00025,MA,Massachusetts,
00023,ME,Maine,37.9
00028,MS,Mississippi,
00029,MO,Missouri,25.3
00027,MN,Minnesota,23.5
00022,LA,Louisiana,40.7
00029,MO,Missouri,27.4
00025,MA,Massachusetts,35.5
00021,KY,Kentucky,37.8
00021,KY,Kentucky,
00028,MS,Mississippi,
00022,LA,Louisiana,81.2
00023,ME,Maine,13.9
00028,MS,Mississippi,37.4
00022,LA,Louisiana,
00029,MO,Missouri,34
00024,MD,Maryland,44.8
00021,KY,Kentucky,45.4
00025,MA,Massachusetts,21.9
00026,MI,Michigan,38.2
00026,MI,Michigan,54.5
00024,MD,Maryland,39.3
00022,LA,Louisiana,
00024,MD,Maryland,63.2
00022,LA,Louisiana,
00025,MA,Massachusetts,18.2
00027,MN,Minnesota,50.7
00029,MO,Missouri,15.5
00027,MN,Minnesota,77.5
00023,ME,Maine,33.7
00022,LA,Louisiana,
00027,MN,Minnesota,49.3
00023,ME,Maine,
00021,KY,Kentucky,83.6
00024,MD,Maryland,20.4
00027,MN,Minnesota,35.4
00024,MD,Maryland,33.7
00028,MS,Mississippi,
00024,MD,Maryland,57.4
00025,MA,Massachusetts,31.5
00029,MO,Missouri,35
00026,MI,Michigan,18.8
00025,MA,Massachusetts,
00024,MD,Maryland,42.1
00028,MS,Mississippi,39
00023,ME,Maine,
00029,MO,Missouri,79.8
00028,MS,Mississippi,37.6
00024,MD,Maryland,37.3
00027,MN,Minnesota,40.6
00022,LA,Louisiana,49.8
00027,MN,Minnesota,24.6
00022,LA,Louisiana,
00026,MI,Michigan,
00028,MS,Mississippi,17.7
00023,ME,Maine,80.6
00024,MD,Maryland,41.6
00022,LA,Louisiana,25
00021,KY,Kentucky,95.3
00028,MS,Mississippi,
00029,MO,Missouri,27.9
00024,MD,Maryland,
00028,MS,Mississippi,
00026,MI,Michigan,35.3
00028,MS,Mississippi,43.9
00029,MO,Missouri,44.6
00023,ME,Maine,
00028,MS,Mississippi,
00024,MD,Maryland,37.7
00028,MS,Mississippi,
00021,KY,Kentucky,37
00026,MI,Michigan,53.8
00024,MD,Maryland,37.4
00026,MI,Michigan,20.2
00021,KY,Kentucky,37.5
00029,MO,Missouri,35.9
00029,MO,Missouri,38.1
00021,KY,Kentucky,37.1
00024,MD,Maryland,
00028,MS,Mississippi,45.2
00022,LA,Louisiana,77.7
00028,MS,Mississippi,83.8
00023,ME,Maine,48.9
00028,MS,Mississippi,
00027,MN,Minnesota,29.3
00029,MO,Missouri,18.8
00023,ME,Maine,81.3
00021,KY,Kentucky,37.2
00021,KY,Kentucky,
00024,MD,Maryland,74.8
00026,MI,Michigan,38
00027,MN,Minnesota,75.2
00021,KY,Kentucky,80.1
00029,MO,Missouri,83.6
00026,MI,Michigan,84.2
00027,MN,Minnesota,24.9
00025,MA,Massachusetts,90.8
00026,MI,Michigan,44.7
00025,MA,Massachusetts,
00022,LA,Louisiana,39
00026,MI,Michigan,22.8
00024,MD,Maryland,83.6
00026,MI,Michigan,45.2
00024,MD,Maryland,40.4
00023,ME,Maine,
00028,MS,Mississippi,36.7
00026,MI,Michigan,83
00027,MN,Minnesota,24.9
00024,MD,Maryland,39.5
00026,MI,Michigan,59.9
00024,MD,Maryland,33
00022,LA,Louisiana,35.2
00021,KY,Kentucky,
00021,KY,Kentucky,33.9
00028,MS,Mississippi,
00024,MD,Maryland,81.5
00022,LA,Louisiana,46.4
00023,ME,Maine,35.3
00023,ME,Maine,69.4
00026,MI,Michigan,61.7
00021,KY,Kentucky,
00028,MS,Mississippi,
00029,MO,Missouri,36.1
00023,ME,Maine,38.4
00029,MO,Missouri,70.7
00021,KY,Kentucky,
00028,MS,Mississippi,55.3
00023,ME,Maine,78.3
00027,MN,Minnesota,92.7
00028,MS,Mississippi,
00025,MA,Massachusetts,33.1
00022,LA,Louisiana,53.9
00026,MI,Michigan,37.9
00022,LA,Louisiana,36.6
00025,MA,Massachusetts,11.1
00028,MS,Mississippi,
00025,MA,Massachusetts,
00023,ME,Maine,37.6
00023,ME,Maine,
00028,MS,Mississippi,86.8
00028,MS,Mississippi,38.5
00025,MA,Massachusetts,40.6
00026,MI,Michigan,34.8
00026,MI,Michigan,38.1
00028,MS,Mississippi,
00025,MA,Massachusetts,30.2
00022,LA,Louisiana,94.1
00023,ME,Maine,49.1
00022,LA,Louisiana,78.2
00025,MA,Massachusetts,80.2
00024,MD,Maryland,81.3
00021,KY,Kentucky,38.1
00026,MI,Michigan,82.2
00021,KY,Kentucky,50.7
00027,MN,Minnesota,17.4
00025,MA,Massachusetts,32.5
00021,KY,Kentucky,
00021,KY,Kentucky,
00023,ME,Maine,26.2
00027,MN,Minnesota,17.9
00026,MI,Michigan,33.9
00029,MO,Missouri,84.1
00024,MD,Maryland,33.3
00021,KY,Kentucky,81.8
00025,MA,Massachusetts,37.4
00023,ME,Maine,37.9
00027,MN,Minnesota,31.4
00023,ME,Maine,40.5
00022,LA,Louisiana,
00027,MN,Minnesota,
00026,MI,Michigan,18.9
00025,MA,Massachusetts,27.5
00025,MA,Massachusetts,
00028,MS,Mississippi,39.7
00022,LA,Louisiana,44.2
00022,LA,Louisiana,20.2
00027,MN,Minnesota,31
00021,KY,Kentucky,
00026,MI,Michigan,53.2
00028,MS,Mississippi,
00028,MS,Mississippi,73.3
00029,MO,Missouri,42
00028,MS,Mississippi,46.6
00024,MD,Maryland,40.6
00021,KY,Kentucky,37.9
00024,MD,Maryland,37.6
00026,MI,Michigan,32.9
00024,MD,Maryland,35.3
00026,MI,Michigan,35.1
00026,MI,Michigan,32.6
00027,MN,Minnesota,79.7
00023,ME,Maine,30.3
00027,MN,Minnesota,31.1
00022,LA,Louisiana,32.3
00027,MN,Minnesota,24.5
00022,LA,Louisiana,37.4
00023,ME,Maine,52.6
00022,LA,Louisiana,83.1
00024,MD,Maryland,37.2
00026,MI,Michigan,32.9
00027,MN,Minnesota,24.6
00024,MD,Maryland,76.7
00025,MA,Massachusetts,40.2
00024,MD,Maryland,15.4
00025,MA,Massachusetts,
00023,ME,Maine,35.5
00029,MO,Missouri,35.1
00027,MN,Minnesota,74.6
00026,MI,Michigan,80.3
00027,MN,Minnesota,31.9
00027,MN,Minnesota,27.1
00022,LA,Louisiana,68.9
00029,MO,Missouri,40.6
00024,MD,Maryland,35.3
00022,LA,Louisiana,22.3
00023,ME,Maine,36.6
00029,MO,Missouri,38
00026,MI,Michigan,92.8
00026,MI,Michigan,32.4
00025,MA,Massachusetts,22.6
00021,KY,Kentucky,
00023,ME,Maine,35.4
00023,ME,Maine,33.9
00023,ME,Maine,90.7
00023,ME,Maine,
00027,MN,Minnesota,29.5
00027,MN,Minnesota,
00025,MA,Massachusetts,25.8
00022,LA,Louisiana,20.6
00024,MD,Maryland,37.9
00021,KY,Kentucky,39.9
00028,MS,Mississippi,20.1
00029,MO,Missouri,31.5
00022,LA,Louisiana,54.5
00028,MS,Mississippi,84.5
00025,MA,Massachusetts,38.6
00025,MA,Massachusetts,31.8
00026,MI,Michigan,
00026,MI,Michigan,33.2
00028,MS,Mississippi,80.8
00029,MO,Missouri,44.7
00027,MN,Minnesota,82.2
00025,MA,Massachusetts,74.4
00024,MD,Maryland,42.5
00027,MN,Minnesota,78.4
00029,MO,Missouri,42.4
00026,MI,Michigan,23.1
00022,LA,Louisiana,
00022,LA,Louisiana,85.9
00029,MO,Missouri,
00027,MN,Minnesota,
00028,MS,Mississippi,
00022,LA,Louisiana,40.9
00029,MO,Missouri,38.2
00027,MN,Minnesota,32.7
00021,KY,Kentucky,42.3
00021,KY,Kentucky,75.2
00023,ME,Maine,37
00027,MN,Minnesota,25.4
00023,ME,Maine,13.8
00027,MN,Minnesota,56.1
00024,MD,Maryland,42.7
00029,MO,Missouri,79.7
00027,MN,Minnesota,14.4
00029,MO,Missouri,38.5
00024,MD,Maryland,
00024,MD,Maryland,37.4
00028,MS,Mississippi,40.2
00021,KY,Kentucky,64.1
00029,MO,Missouri,18.1
00028,MS,Mississippi,84.3
00026,MI,Michigan,42.1
00025,MA,Massachusetts,35.7
00021,KY,Kentucky,45.7
00028,MS,Mississippi,38.3
00029,MO,Missouri,32.2
00029,MO,Missouri,40.9
00022,LA,Louisiana,34.8
00029,MO,Missouri,19
00028,MS,Mississippi,37.9
00028,MS,Mississippi,94.4
00027,MN,Minnesota,33.3
00021,KY,Kentucky,37.6
00021,KY,Kentucky,89.4
00021,KY,Kentucky,
00028,MS,Mississippi,36.8
00022,LA,Louisiana,39.1
00028,MS,Mississippi,42.6
00025,MA,Massachusetts,59
00028,MS,Mississippi,
00025,MA,Massachusetts,18
00026,MI,Michigan,16.1
00025,MA,Massachusetts,
00029,MO,Missouri,38.4
00021,KY,Kentucky,50.1
00025,MA,Massachusetts,36.1
00029,MO,Missouri,38.2
00028,MS,Mississippi,
00025,MA,Massachusetts,26
00029,MO,Missouri,44.5
00024,MD,Maryland,62
00023,ME,Maine,26.2
00027,MN,Minnesota,34.9
00022,LA,Louisiana,25
00023,ME,Maine,33.9
00026,MI,Michigan,
00028,MS,Mississippi,
00025,MA,Massachusetts,23
00021,KY,Kentucky,83.8
00021,KY,Kentucky,25.2
00027,MN,Minnesota,49.9
00023,ME,Maine,
00024,MD,Maryland,
00026,MI,Michigan,37.9
00025,MA,Massachusetts,32.8
00029,MO,Missouri,
00022,LA,Louisiana,
00021,KY,Kentucky,21.6
00025,MA,Massachusetts,36.7
00021,KY,Kentucky,
00025,MA,Massachusetts,28.4
00021,KY,Kentucky,39.8
00026,MI,Michigan,36.6
00031,NE,Nebraska,33.4
00035,NM,New Mexico,89.5
00037,NC,North Carolina,82.9
00030,MT,Montana,80.6
00037,NC,North Carolina,19.6
00031,NE,Nebraska,
00033,NH,New Hampshire,15.5
00033,NH,New Hampshire,81
00035,NM,New Mexico,75.5
00037,NC,North Carolina,
00037,NC,North Carolina,14.8
00030,MT,Montana,26.3
00036,NY,New York,80.2
00034,NJ,New Jersey,49.9
00037,NC,North Carolina,45.4
00033,NH,New Hampshire,34.2
00036,NY,New York,24.8
00031,NE,Nebraska,28.9
00032,NV,Nevada,37.4
00037,NC,North Carolina,38.1
00033,NH,New Hampshire,
00031,NE,Nebraska,
00030,MT,Montana,31
00036,NY,New York,50.7
00036,NY,New York,33
00032,NV,Nevada,29.1
00033,NH,New Hampshire,25.3
00032,NV,Nevada,37.6
00030,MT,Montana,32.1
00032,NV,Nevada,25
00035,NM,New Mexico,41.2
00034,NJ,New Jersey,34.2
00036,NY,New York,34.8
00034,NJ,New Jersey,12
00037,NC,North Carolina,
00030,MT,Montana,51.1
00035,NM,New Mexico,
00036,NY,New York,19.8
00037,NC,North Carolina,36.6
00037,NC,North Carolina,35.2
00036,NY,New York,37.9
00056,WY,Wyoming,
00037,NC,North Carolina,79.2
00031,NE,Nebraska,36
00032,NV,Nevada,49
00035,NM,New Mexico,28.1
00033,NH,New Hampshire,
00036,NY,New York,84.8
00034,NJ,New Jersey,37
00030,MT,Montana,31.9
00030,MT,Montana,34.3
00034,NJ,New Jersey,36.7
00036,NY,New York,37.4
